Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,LotFrontage_Nan,MasVnrArea_Nan,BsmtFinSF1_Nan,BsmtFinSF2_Nan,BsmtUnfSF_Nan,TotalBsmtSF_Nan,BsmtFullBath_Nan,BsmtHalfBath_Nan,GarageYrBlt_Nan,GarageCars_Nan,GarageArea_Nan,MSZoning_Missing,Alley_Missing,Utilities_Missing,Exterior1st_Missing,Exterior2nd_Missing,MasVnrType_Missing,BsmtQual_Missing,BsmtCond_Missing,BsmtExposure_Missing,BsmtFinType1_Missing,BsmtFinType2_Missing,KitchenQual_Missing,Functional_Missing,FireplaceQu_Missing,GarageType_Missing,GarageFinish_Missing,GarageQual_Missing,GarageCond_Missing,PoolQC_Missing,Fence_Missing,MiscFeature_Missing,SaleType_Missing
1461,20,0.006854009595613434,4.382026634673881,9.360655132635051,0.995887594242632,0.9266620973269363,0.6401644962302947,0.8985606579849211,0.9986291980808774,0.7409184372858122,0.9568197395476353,0.14941740918437285,0.0568882796435915,0.9897189856065799,0.8259081562714188,0.5106237148732008,5,6,1961,1961,0.8012337217272104,0.9883481836874571,0.34955448937628514,0.34955448937628514,0.6017820424948594,0.0,0.6113776559287183,0.8608636052090473,0.4119259766963674,0.4345442083618917,0.8875942426319396,0.6518163125428376,0.10623714873200822,468.0,0.02810143934201508,144.0,270.0,882.0,0.9910897875257025,0.29403701165181634,0.9307745030843043,0.9163810829335161,6.79794041297493,0,0,6.79794041297493,0.0,0.0,1,0,2,1,0.518848526387937,5,0.9300891021247429,0,0.5003427004797807,0.5846470185058259,1961.0,0.4283755997258396,1.0,730.0,0.886223440712817,0.910212474297464,0.8917066483893078,140,0,0,0,120,0,0.997943797121316,0.11788896504455106,0.9650445510623715,0,6,2010,0.86223440712817,0.8252227553118574,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
1462,20,0.7635366689513365,4.394449154672439,9.565704457114814,0.995887594242632,0.9266620973269363,0.3317340644276902,0.8985606579849211,0.9986291980808774,0.16997943797121315,0.9568197395476353,0.14941740918437285,0.8574366004112406,0.9897189856065799,0.8259081562714188,0.5106237148732008,6,6,1958,1958,0.181631254283756,0.9883481836874571,0.1405071967100754,0.13296778615490062,0.297464016449623,108.0,0.6113776559287183,0.8608636052090473,0.4119259766963674,0.4345442083618917,0.8875942426319396,0.6518163125428376,0.14324880054832076,923.0,0.8478409869773817,0.0,406.0,1329.0,0.9910897875257025,0.29403701165181634,0.9307745030843043,0.9163810829335161,7.192182058713246,0,0,7.192182058713246,0.0,0.0,1,1,3,1,0.387251542152159,6,0.9300891021247429,0,0.5003427004797807,0.5846470185058259,1958.0,0.4283755997258396,1.0,312.0,0.886223440712817,0.910212474297464,0.8917066483893078,393,36,0,0,0,0,0.997943797121316,0.8012337217272104,0.00205620287868403,12500,6,2010,0.86223440712817,0.8252227553118574,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
1463,60,0.7635366689513365,4.30406509320417,9.534595424658804,0.995887594242632,0.9266620973269363,0.3317340644276902,0.8985606579849211,0.9986291980808774,0.7409184372858122,0.9568197395476353,0.05894448252227553,0.8574366004112406,0.9897189856065799,0.8259081562714188,0.29266620973269364,5,5,1997,1998,0.8012337217272104,0.9883481836874571,0.34955448937628514,0.34955448937628514,0.6017820424948594,0.0,0.6113776559287183,0.8608636052090473,0.453050034270048,0.40507196710075394,0.8875942426319396,0.6518163125428376,0.295407813570939,791.0,0.8478409869773817,0.0,137.0,928.0,0.9910897875257025,0.15969842357779301,0.9307745030843043,0.9163810829335161,6.833031732786201,701,0,7.395721608602045,0.0,0.0,2,1,3,1,0.518848526387937,6,0.9300891021247429,1,0.1912268677176148,0.5846470185058259,1997.0,0.25154215215901304,2.0,482.0,0.886223440712817,0.910212474297464,0.8917066483893078,212,34,0,0,0,0,0.997943797121316,0.11788896504455106,0.9650445510623715,0,3,2010,0.86223440712817,0.8252227553118574,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1464,60,0.7635366689513365,4.356708826689592,9.208137948420983,0.995887594242632,0.9266620973269363,0.3317340644276902,0.8985606579849211,0.9986291980808774,0.7409184372858122,0.9568197395476353,0.05894448252227553,0.8574366004112406,0.9897189856065799,0.8259081562714188,0.29266620973269364,6,6,1998,1998,0.8012337217272104,0.9883481836874571,0.34955448937628514,0.34955448937628514,0.297464016449623,20.0,0.6113776559287183,0.8608636052090473,0.453050034270048,0.4345442083618917,0.8875942426319396,0.6518163125428376,0.295407813570939,602.0,0.8478409869773817,0.0,324.0,926.0,0.9910897875257025,0.5154215215901302,0.9307745030843043,0.9163810829335161,6.8308742346461795,678,0,7.38025578842646,0.0,0.0,2,1,3,1,0.387251542152159,7,0.9300891021247429,1,0.249485949280329,0.5846470185058259,1998.0,0.25154215215901304,2.0,470.0,0.886223440712817,0.910212474297464,0.8917066483893078,360,36,0,0,0,0,0.997943797121316,0.8012337217272104,0.9650445510623715,0,6,2010,0.86223440712817,0.8252227553118574,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
1465,120,0.7635366689513365,3.7612001156935624,8.518192691749322,0.995887594242632,0.9266620973269363,0.3317340644276902,0.047978067169294036,0.9986291980808774,0.7409184372858122,0.9568197395476353,0.01782042494859493,0.8574366004112406,0.9897189856065799,0.0774503084304318,0.5106237148732008,8,5,1992,1992,0.8012337217272104,0.9883481836874571,0.15078821110349555,0.13639479095270735,0.6017820424948594,0.0,0.3365318711446196,0.8608636052090473,0.453050034270048,0.40507196710075394,0.8875942426319396,0.6518163125428376,0.14324880054832076,263.0,0.8478409869773817,0.0,1017.0,1280.0,0.9910897875257025,0.5154215215901302,0.9307745030843043,0.9163810829335161,7.154615356913663,0,0,7.154615356913663,0.0,0.0,2,0,2,1,0.387251542152159,5,0.9300891021247429,0,0.5003427004797807,0.5846470185058259,1992.0,0.26662097326936257,2.0,506.0,0.886223440712817,0.910212474297464,0.8917066483893078,0,82,0,0,144,0,0.997943797121316,0.8012337217272104,0.9650445510623715,0,1,2010,0.86223440712817,0.8252227553118574,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
1466,60,0.7635366689513365,4.31748811353631,9.210340371976184,0.995887594242632,0.9266620973269363,0.3317340644276902,0.8985606579849211,0.9986291980808774,0.16997943797121315,0.9568197395476353,0.05894448252227553,0.8574366004112406,0.9897189856065799,0.8259081562714188,0.29266620973269364,6,5,1993,1994,0.8012337217272104,0.9883481836874571,0.15078821110349555,0.13639479095270735,0.6017820424948594,0.0,0.6113776559287183,0.8608636052090473,0.453050034270048,0.40507196710075394,0.8875942426319396,0.6518163125428376,0.28855380397532554,0.0,0.8478409869773817,0.0,763.0,763.0,0.9910897875257025,0.15969842357779301,0.9307745030843043,0.9163810829335161,6.637258031284457,892,0,7.411556287811163,0.0,0.0,2,1,3,1,0.518848526387937,7,0.9300891021247429,1,0.1912268677176148,0.5846470185058259,1993.0,0.25154215215901304,2.0,440.0,0.886223440712817,0.910212474297464,0.8917066483893078,157,84,0,0,0,0,0.997943797121316,0.8012337217272104,0.9650445510623715,0,4,2010,0.86223440712817,0.8252227553118574,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
1467,20,0.7635366689513365,4.204692619390966,8.984693690443855,0.995887594242632,0.9266620973269363,0.3317340644276902,0.8985606579849211,0.9986291980808774,0.7409184372858122,0.9568197395476353,0.05894448252227553,0.8574366004112406,0.9897189856065799,0.8259081562714188,0.5106237148732008,6,7,1992,2007,0.8012337217272104,0.9883481836874571,0.15078821110349555,0.13639479095270735,0.6017820424948594,0.0,0.6113776559287183,0.10486634681288554,0.453050034270048,0.40507196710075394,0.8875942426319396,0.6518163125428376,0.14324880054832076,935.0,0.8478409869773817,0.0,233.0,1168.0,0.9910897875257025,0.5154215215901302,0.9307745030843043,0.9163810829335161,7.079184394609668,0,0,7.079184394609668,1.0,0.0,2,0,3,1,0.518848526387937,6,0.9300891021247429,0,0.5003427004797807,0.5846470185058259,1992.0,0.25154215215901304,2.0,420.0,0.886223440712817,0.910212474297464,0.8917066483893078,483,21,0,0,0,0,0.997943797121316,0.04043865661411926,0.031528444139821796,500,3,2010,0.86223440712817,0.8252227553118574,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1468,60,0.7635366689513365,4.143134726391533,9.036225051729327,0.995887594242632,0.9266620973269363,0.3317340644276902,0.8985606579849211,0.9986291980808774,0.7409184372858122,0.9568197395476353,0.05894448252227553,0.8574366004112406,0.9897189856065799,0.8259081562714188,0.29266620973269364,6,5,1998,1998,0.8012337217272104,0.9883481836874571,0.34955448937628514,0.34955448937628514,0.6017820424948594,0.0,0.6113776559287183,0.8608636052090473,0.453050034270048,0.40507196710075394,0.8875942426319396,0.6518163125428376,0.28855380397532554,0.0,0.8478409869773817,0.0,789.0,789.0,0.9910897875257025,0.15969842357779301,0.9307745030843043,0.9163810829335161,6.670766320845874,676,0,7.289610521451167,0.0,0.0,2,1,3,1,0.518848526387937,7,0.9300891021247429,1,0.249485949280329,0.5846470185058259,1998.0,0.25154215215901304,2.0,393.0,0.886223440712817,0.910212474297464,0.8917066483893078,0,75,0,0,0,0,0.997943797121316,0.8012337217272104,0.9650445510623715,0,5,2010,0.86223440712817,0.8252227553118574,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
1469,20,0.7635366689513365,4.442651256490317,9.227787285579904,0.995887594242632,0.9266620973269363,0.6401644962302947,0.8985606579849211,0.9986291980808774,0.7409184372858122,0.9568197395476353,0.05894448252227553,0.8574366004112406,0.9897189856065799,0.8259081562714188,0.5106237148732008,7,5,1990,1990,0.8012337217272104,0.9883481836874571,0.15078821110349555,0.13639479095270735,0.6017820424948594,0.0,0.6113776559287183,0.8608636052090473,0.453050034270048,0.40507196710075394,0.8875942426319396,0.09732693625771076,0.295407813570939,637.0,0.8478409869773817,0.0,663.0,1300.0,0.9910897875257025,0.15969842357779301,0.9307745030843043,0.9163810829335161,7.201170883281678,0,0,7.201170883281678,1.0,0.0,1,1,2,1,0.387251542152159,5,0.9300891021247429,1,0.01782042494859493,0.5846470185058259,1990.0,0.4283755997258396,2.0,506.0,0.886223440712817,0.910212474297464,0.8917066483893078,192,0,0,0,0,0,0.997943797121316,0.8012337217272104,0.9650445510623715,0,2,2010,0.86223440712817,0.8252227553118574,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
1470,20,0.7635366689513365,4.248495242049359,9.035986984831405,0.995887594242632,0.9266620973269363,0.6401644962302947,0.8985606579849211,0.9986291980808774,0.16997943797121315,0.9568197395476353,0.14941740918437285,0.8574366004112406,0.9897189856065799,0.8259081562714188,0.5106237148732008,4,5,1970,1970,0.8012337217272104,0.9883481836874571,0.0774503084304318,0.08773132282385196,0.6017820424948594,0.0,0.6113776559287183,0.8608636052090473,0.4119259766963674,0.4345442083618917,0.8875942426319396,0.6518163125428376,0.14324880054832076,804.0,0.03495544893762851,78.0,0.0,882.0,0.9910897875257025,0.29403701165181634,0.9307745030843043,0.9163810829335161,6.782192056006791,0,0,6.782192056006791,1.0,0.0,1,0,2,1,0.518848526387937,4,0.9300891021247429,0,0.5003427004797807,0.5846470185058259,1970.0,0.25154215215901304,2.0,525.0,0.886223440712817,0.910212474297464,0.8917066483893078,240,0,0,0,0,0,0.997943797121316,0.11788896504455106,0.9650445510623715,0,4,2010,0.86223440712817,0.8252227553118574,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
