Id,datetime,yr,mnth,hr,season,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,count
7057,26/10/2011,0,10,15,4,0,3,1,2,00.52,00.05,0.053472222,0,70
2659,25/04/2011,0,4,16,2,0,1,1,1,00.07,4.524305556,00.54,2.4875,239
10749,28/03/2012,1,3,23,2,0,3,1,1,00.54,3.577777778,0.047222222,0.932638889,93
3765,10/06/2011,0,6,18,2,0,5,1,1,00.08,5.365972222,00.59,1.554861111,463
7579,17/11/2011,0,11,9,4,0,4,1,2,00.34,0.210416667,0.042361111,2.280555556,198
7847,28/11/2011,0,11,14,4,0,1,1,1,00.06,4.313888889,00.56,0,143
10100,01/03/2012,1,3,21,1,0,4,1,1,00.42,2.945833333,00.47,3.213194444,197
13943,09/08/2012,1,8,3,3,0,4,1,1,0.047222222,4.419444444,0.057638889,0.622222222,6
6531,04/10/2011,0,10,16,4,0,2,1,1,00.58,3.788194444,00.56,2.280555556,309
11107,12/04/2012,1,4,23,2,0,4,1,1,00.42,2.945833333,00.35,0.134722222,94
8189,12/12/2011,0,12,20,4,0,1,1,1,00.03,2.209722222,00.56,0.622222222,165
12331,02/06/2012,1,6,23,2,0,6,0,1,00.56,3.682638889,00.52,0.725694444,238
3464,29/05/2011,0,5,5,2,0,0,0,1,00.06,3.577777778,0.065277778,1.140277778,6
13218,09/07/2012,1,7,22,3,0,1,1,2,0.05,4.629861111,00.58,0.725694444,224
12981,30/06/2012,1,6,1,3,0,6,0,3,0.044444444,3.998611111,0.061805556,1.554861111,58
3275,21/05/2011,0,5,8,2,0,6,0,1,00.56,3.682638889,0.047222222,1.969444444,126
13830,04/08/2012,1,8,10,3,0,6,0,1,0.056944444,5.365972222,00.57,0.134722222,396
5565,24/08/2011,0,8,18,3,0,3,1,1,0.051388889,4.734722222,00.55,2.072916667,621
14897,17/09/2012,1,9,21,3,0,1,1,3,0.043055556,3.998611111,0.057638889,1.554861111,233
9343,30/01/2012,1,1,4,1,0,1,1,1,00.02,1.472916667,00.51,0.932638889,5
7549,16/11/2011,0,11,3,4,0,3,1,2,00.46,3.15625,0.065277778,0.725694444,5
826,06/02/2011,0,2,20,1,0,0,0,1,00.28,1.999305556,0.042361111,0.725694444,26
12140,26/05/2012,1,5,0,2,0,6,0,1,0.044444444,3.998611111,0.057638889,1.140277778,116
115,05/01/2011,0,1,23,1,0,3,1,1,00.02,1.788888889,00.47,0,19
3787,11/06/2011,0,6,16,2,0,6,0,2,00.08,5.050694444,00.46,0.134722222,394
9137,21/01/2012,1,1,14,1,0,6,0,3,00.02,0.136805556,00.08,0.134722222,95
11871,14/05/2012,1,5,19,2,0,1,1,3,00.58,3.788194444,0.061111111,0.932638889,304
15703,21/10/2012,1,10,11,4,0,0,0,1,00.52,00.05,00.44,2.280555556,547
16273,15/11/2012,1,11,18,4,0,4,1,2,00.36,2.420138889,00.57,0.134722222,573
17259,26/12/2012,1,12,23,1,0,3,1,3,00.26,1.578472222,0.060416667,2.072916667,10
7266,04/11/2011,0,11,8,4,0,5,1,2,00.04,2.840972222,0.060416667,2.4875,395
8377,20/12/2011,0,12,16,4,0,2,1,1,00.44,3.051388889,00.54,0,238
14555,03/09/2012,1,9,15,3,1,1,0,1,0.051388889,0.484027778,00.07,1.554861111,449
1404,03/03/2011,0,3,18,1,0,4,1,1,00.24,1.472916667,00.35,2.280555556,167
2827,02/05/2011,0,5,16,2,0,1,1,1,0.045833333,4.313888889,0.042361111,1.554861111,269
6840,17/10/2011,0,10,13,4,0,1,1,1,00.56,3.682638889,00.46,0.622222222,205
13284,12/07/2012,1,7,16,3,0,4,1,1,00.08,4.945138889,00.36,0.134722222,439
8962,14/01/2012,1,1,6,1,0,6,0,1,00.14,1.052083333,00.05,0,5
1354,01/03/2011,0,3,16,1,0,2,1,1,00.34,2.420138889,00.34,0.622222222,102
15515,13/10/2012,1,10,15,4,0,6,0,1,00.05,3.366666667,00.36,0.134722222,615
11332,22/04/2012,1,4,8,2,0,0,0,3,00.04,2.840972222,0.056944444,1.761805556,51
8707,03/01/2012,1,1,14,1,0,2,1,1,00.16,0.841666667,00.43,3.627777778,79
763,04/02/2011,0,2,5,1,0,5,1,2,00.14,1.052083333,0.04375,0.932638889,7
11484,28/04/2012,1,4,16,2,0,6,0,2,00.44,3.051388889,00.38,0.134722222,376
6944,21/10/2011,0,10,22,4,0,5,1,1,00.42,2.945833333,00.54,1.140277778,113
11623,04/05/2012,1,5,11,2,0,5,1,2,00.07,4.524305556,0.042361111,0,258
10427,15/03/2012,1,3,13,1,0,4,1,2,0.045833333,4.313888889,00.41,0.622222222,273
2872,04/05/2011,0,5,13,2,0,3,1,2,00.46,3.15625,00.59,3.109722222,143
16022,05/11/2012,1,11,6,4,0,1,1,2,00.03,1.999305556,00.49,1.969444444,139
11025,09/04/2012,1,4,12,2,0,1,1,1,00.54,3.577777778,00.28,4.975,280
9397,01/02/2012,1,2,10,1,0,3,1,1,00.04,2.840972222,0.043055556,0.932638889,133
14956,20/09/2012,1,9,8,3,0,4,1,1,00.05,3.366666667,0.047222222,0.622222222,790
432,20/01/2011,0,1,0,1,0,4,1,1,00.26,1.578472222,00.56,2.695138889,13
7211,02/11/2011,0,11,1,4,0,3,1,1,00.03,2.314583333,0.060416667,0,10
4724,20/07/2011,0,7,17,3,0,3,1,1,0.058333333,5.786805556,00.59,0.134722222,455
8603,30/12/2011,0,12,5,1,0,5,1,1,00.22,1.788888889,0.052083333,0.622222222,10
11160,15/04/2012,1,4,4,2,0,0,0,2,00.54,3.577777778,00.52,0,12
13661,28/07/2012,1,7,9,3,0,6,0,1,0.054166667,5.155555556,00.59,0.725694444,337
13446,19/07/2012,1,7,10,3,0,4,1,1,0.052777778,4.945138889,00.58,0.134722222,198
7588,17/11/2011,0,11,18,4,0,4,1,1,00.32,2.209722222,00.39,0.134722222,307
1135,20/02/2011,0,2,0,1,0,0,0,1,00.26,1.472916667,00.35,3.109722222,17
2203,06/04/2011,0,4,15,2,0,3,1,1,00.52,00.05,00.32,2.280555556,117
8388,21/12/2011,0,12,3,1,0,3,1,2,00.36,2.630555556,0.049305556,0,2
611,28/01/2011,0,1,16,1,0,5,1,1,00.22,1.89375,00.08,0,80
2982,09/05/2011,0,5,3,2,0,1,1,1,00.46,3.15625,0.056944444,0.622222222,7
3259,20/05/2011,0,5,16,2,0,5,1,2,00.06,4.313888889,00.53,1.140277778,330
2619,24/04/2011,0,4,0,2,0,0,0,1,00.52,00.05,0.057638889,1.554861111,96
14741,11/09/2012,1,9,9,3,0,2,1,1,00.06,4.313888889,00.49,0,358
9933,23/02/2012,1,2,21,1,0,4,1,1,00.44,3.051388889,00.51,1.554861111,222
11846,13/05/2012,1,5,18,2,0,0,0,2,0.047222222,4.419444444,00.44,2.4875,389
4729,20/07/2011,0,7,22,3,0,3,1,1,0.054166667,5.365972222,00.07,1.554861111,169
16289,16/11/2012,1,11,10,4,0,5,1,1,00.34,2.314583333,00.53,0.134722222,198
1493,07/03/2011,0,3,13,1,0,1,1,1,00.32,1.999305556,00.36,2.695138889,70
9100,20/01/2012,1,1,1,1,0,5,1,1,00.26,1.89375,00.48,0.932638889,15
10606,23/03/2012,1,3,0,2,0,5,1,1,00.56,3.682638889,0.057638889,0,95
5242,11/08/2011,0,8,7,3,0,4,1,1,0.045833333,4.313888889,00.54,0.932638889,307
4438,08/07/2011,0,7,19,3,0,5,1,1,0.045833333,4.209027778,0.057638889,0.622222222,270
1827,21/03/2011,0,3,20,2,0,1,1,1,00.56,3.682638889,0.044444444,0.134722222,122
6418,29/09/2011,0,9,23,4,0,4,1,1,00.52,00.05,0.053472222,0.725694444,81
15955,02/11/2012,1,11,11,4,0,5,1,1,00.42,2.945833333,00.41,2.902083333,221
7573,17/11/2011,0,11,3,4,0,4,1,2,00.42,2.945833333,0.053472222,2.280555556,3
11558,01/05/2012,1,5,18,2,0,2,1,1,00.07,4.524305556,00.54,0.932638889,743
12804,22/06/2012,1,6,16,3,0,5,1,1,00.09,0.557638889,00.31,1.554861111,380
4890,27/07/2011,0,7,15,3,0,3,1,1,0.059722222,5.155555556,00.26,1.761805556,140
15032,23/09/2012,1,9,12,4,0,0,0,1,00.56,3.682638889,00.43,0.725694444,776
8205,13/12/2011,0,12,12,4,0,2,1,1,00.36,2.314583333,00.43,2.4875,167
7990,04/12/2011,0,12,13,4,0,0,0,1,00.04,2.840972222,0.045833333,1.554861111,357
3714,08/06/2011,0,6,15,2,0,3,1,1,0.063888889,6.102777778,00.04,1.140277778,128
13474,20/07/2012,1,7,14,3,0,5,1,3,00.07,4.629861111,0.058333333,1.140277778,229
13302,13/07/2012,1,7,10,3,0,5,1,2,0.051388889,4.629861111,00.48,0,268
9447,03/02/2012,1,2,12,1,0,5,1,1,00.34,2.314583333,00.46,0.932638889,216
9789,17/02/2012,1,2,19,1,0,5,1,1,00.38,2.735416667,00.37,1.554861111,282
13364,16/07/2012,1,7,0,3,0,1,1,3,0.05,0.484027778,0.054861111,0.725694444,43
10802,31/03/2012,1,3,4,2,0,6,0,1,00.42,2.945833333,0.053472222,2.902083333,8
11730,08/05/2012,1,5,22,2,0,2,1,3,00.06,3.998611111,0.054166667,1.761805556,147
5004,01/08/2011,0,8,9,3,0,1,1,1,0.056944444,5.155555556,00.41,0,166
9065,18/01/2012,1,1,14,1,0,3,1,1,00.03,1.89375,00.33,2.695138889,105
16040,06/11/2012,1,11,0,4,0,2,1,1,00.24,1.788888889,00.06,0.725694444,19
11355,23/04/2012,1,4,7,2,0,1,1,3,00.03,1.999305556,0.05625,1.761805556,207
2934,07/05/2011,0,5,3,2,0,6,0,1,00.42,2.945833333,0.053472222,0.622222222,18
12932,28/06/2012,1,6,0,3,0,4,1,1,0.045833333,4.313888889,00.05,0.725694444,54
14147,17/08/2012,1,8,15,3,0,5,1,1,0.059722222,1.683333333,00.03,3.213194444,383
3661,06/06/2011,0,6,10,2,0,1,1,1,0.05,4.629861111,00.51,1.554861111,95
14104,15/08/2012,1,8,20,3,0,3,1,1,00.07,4.524305556,0.042361111,0.932638889,427
11487,28/04/2012,1,4,19,2,0,6,0,3,00.36,2.420138889,0.049305556,0.932638889,139
11011,08/04/2012,1,4,22,2,0,0,0,1,00.05,3.366666667,00.36,1.554861111,118
16822,08/12/2012,1,12,16,4,0,6,0,1,00.42,2.945833333,0.056944444,1.140277778,507
2895,05/05/2011,0,5,12,2,0,4,1,1,00.52,00.05,00.34,2.4875,196
5498,21/08/2011,0,8,23,3,0,0,0,1,00.07,4.629861111,0.051388889,1.140277778,68
5515,22/08/2011,0,8,16,3,0,1,1,1,0.051388889,4.524305556,00.03,2.695138889,320
11238,18/04/2012,1,4,10,2,0,3,1,3,00.48,3.261805556,00.47,1.554861111,147
13228,10/07/2012,1,7,8,3,0,2,1,1,0.05,0.484027778,0.051388889,0.932638889,649
14286,23/08/2012,1,8,10,3,0,4,1,1,0.051388889,4.734722222,00.58,0.622222222,233
6762,14/10/2011,0,10,7,4,0,5,1,3,00.56,3.682638889,0.061111111,0.134722222,147
12960,29/06/2012,1,6,4,3,0,5,1,1,00.07,4.524305556,0.045138889,1.140277778,10
16952,14/12/2012,1,12,2,4,0,5,1,1,00.22,1.89375,0.047916667,0,9
3308,22/05/2011,0,5,17,2,0,0,0,1,00.07,4.524305556,00.58,1.761805556,306
11010,08/04/2012,1,4,21,2,0,0,0,1,00.52,00.05,00.34,1.554861111,130
17180,23/12/2012,1,12,14,1,0,0,0,1,00.34,0.210416667,00.31,2.072916667,175
3251,20/05/2011,0,5,8,2,0,5,1,1,00.54,3.577777778,0.047222222,0,517
1862,23/03/2011,0,3,8,2,0,3,1,2,00.32,2.209722222,0.060416667,0.134722222,261
7656,20/11/2011,0,11,14,4,0,0,0,1,00.52,00.05,0.04375,1.761805556,363
10203,06/03/2012,1,3,4,1,0,2,1,1,00.18,1.157638889,00.51,2.072916667,3
10065,29/02/2012,1,2,10,1,0,3,1,3,00.03,0.210416667,0.05625,1.140277778,10
313,14/01/2011,0,1,12,1,0,5,1,1,00.02,0.136805556,00.44,1.761805556,61
3733,09/06/2011,0,6,10,2,0,4,1,1,0.059722222,5.681944444,00.05,1.969444444,94
10673,25/03/2012,1,3,19,2,0,0,0,1,00.05,3.366666667,0.05,1.761805556,375
8037,06/12/2011,0,12,12,4,0,2,1,3,00.46,3.15625,1,1.554861111,55
2866,04/05/2011,0,5,7,2,0,3,1,3,00.34,0.210416667,0.064583333,2.4875,52
13523,22/07/2012,1,7,15,3,0,0,0,1,0.05,4.734722222,0.045833333,0.725694444,624
16867,10/12/2012,1,12,13,4,0,1,1,3,00.44,3.051388889,1,1.554861111,220
1960,27/03/2011,0,3,11,2,0,0,0,2,00.24,1.683333333,00.48,1.140277778,108
9540,07/02/2012,1,2,10,1,0,2,1,1,00.34,2.314583333,00.46,1.140277778,116
15912,31/10/2012,1,10,16,4,0,3,1,2,00.42,2.945833333,00.54,1.554861111,424
4413,07/07/2011,0,7,18,3,0,4,1,1,0.058333333,5.261111111,00.44,2.072916667,562
11007,08/04/2012,1,4,18,2,0,0,0,1,0.043055556,4.209027778,00.25,2.280555556,310
