,datetime,hour,season,holiday,weekday,workingday,weather situation,temperature in celsius,atemp,humidity,windspeed,count,year,month,day
0,2011-10-26,15,4,0,3,1,2,0.52,0.05,0.053472222,0.0,70,2011,10,26
1,2011-04-25,16,2,0,1,1,1,0.07,4.524305556,0.54,2.4875,239,2011,4,25
2,2012-03-28,23,2,0,3,1,1,0.54,3.577777778,0.047222222,0.932638889,93,2012,3,28
3,2011-06-10,18,2,0,5,1,1,0.08,5.365972222,0.59,1.554861111,463,2011,6,10
4,2011-11-17,9,4,0,4,1,2,0.34,0.210416667,0.042361111,2.280555556,198,2011,11,17
5,2011-11-28,14,4,0,1,1,1,0.06,4.313888889,0.56,0.0,143,2011,11,28
6,2012-03-01,21,1,0,4,1,1,0.42,2.945833333,0.47,3.213194444,197,2012,3,1
7,2012-08-09,3,3,0,4,1,1,0.047222222,4.419444444,0.057638889,0.622222222,6,2012,8,9
8,2011-10-04,16,4,0,2,1,1,0.58,3.788194444,0.56,2.280555556,309,2011,10,4
9,2012-04-12,23,2,0,4,1,1,0.42,2.945833333,0.35,0.134722222,94,2012,4,12
10,2011-12-12,20,4,0,1,1,1,0.03,2.209722222,0.56,0.622222222,165,2011,12,12
11,2012-06-02,23,2,0,6,0,1,0.56,3.682638889,0.52,0.725694444,238,2012,6,2
12,2011-05-29,5,2,0,0,0,1,0.06,3.577777778,0.065277778,1.140277778,6,2011,5,29
13,2012-07-09,22,3,0,1,1,2,0.05,4.629861111,0.58,0.725694444,224,2012,7,9
14,2012-06-30,1,3,0,6,0,3,0.044444444,3.998611111,0.061805556,1.554861111,58,2012,6,30
15,2011-05-21,8,2,0,6,0,1,0.56,3.682638889,0.047222222,1.969444444,126,2011,5,21
16,2012-08-04,10,3,0,6,0,1,0.056944444,5.365972222,0.57,0.134722222,396,2012,8,4
17,2011-08-24,18,3,0,3,1,1,0.051388889,4.734722222,0.55,2.072916667,621,2011,8,24
18,2012-09-17,21,3,0,1,1,3,0.043055556,3.998611111,0.057638889,1.554861111,233,2012,9,17
19,2012-01-30,4,1,0,1,1,1,0.02,1.472916667,0.51,0.932638889,5,2012,1,30
20,2011-11-16,3,4,0,3,1,2,0.46,3.15625,0.065277778,0.725694444,5,2011,11,16
21,2011-02-06,20,1,0,0,0,1,0.28,1.999305556,0.042361111,0.725694444,26,2011,2,6
22,2012-05-26,0,2,0,6,0,1,0.044444444,3.998611111,0.057638889,1.140277778,116,2012,5,26
23,2011-01-05,23,1,0,3,1,1,0.02,1.788888889,0.47,0.0,19,2011,1,5
24,2011-06-11,16,2,0,6,0,2,0.08,5.050694444,0.46,0.134722222,394,2011,6,11
25,2012-01-21,14,1,0,6,0,3,0.02,0.136805556,0.08,0.134722222,95,2012,1,21
26,2012-05-14,19,2,0,1,1,3,0.58,3.788194444,0.061111111,0.932638889,304,2012,5,14
27,2012-10-21,11,4,0,0,0,1,0.52,0.05,0.44,2.280555556,547,2012,10,21
28,2012-11-15,18,4,0,4,1,2,0.36,2.420138889,0.57,0.134722222,573,2012,11,15
29,2012-12-26,23,1,0,3,1,3,0.26,1.578472222,0.060416667,2.072916667,10,2012,12,26
30,2011-11-04,8,4,0,5,1,2,0.04,2.840972222,0.060416667,2.4875,395,2011,11,4
31,2011-12-20,16,4,0,2,1,1,0.44,3.051388889,0.54,0.0,238,2011,12,20
32,2012-09-03,15,3,1,1,0,1,0.051388889,0.484027778,0.07,1.554861111,449,2012,9,3
33,2011-03-03,18,1,0,4,1,1,0.24,1.472916667,0.35,2.280555556,167,2011,3,3
34,2011-05-02,16,2,0,1,1,1,0.045833333,4.313888889,0.042361111,1.554861111,269,2011,5,2
35,2011-10-17,13,4,0,1,1,1,0.56,3.682638889,0.46,0.622222222,205,2011,10,17
36,2012-07-12,16,3,0,4,1,1,0.08,4.945138889,0.36,0.134722222,439,2012,7,12
37,2012-01-14,6,1,0,6,0,1,0.14,1.052083333,0.05,0.0,5,2012,1,14
38,2011-03-01,16,1,0,2,1,1,0.34,2.420138889,0.34,0.622222222,102,2011,3,1
39,2012-10-13,15,4,0,6,0,1,0.05,3.366666667,0.36,0.134722222,615,2012,10,13
40,2012-04-22,8,2,0,0,0,3,0.04,2.840972222,0.056944444,1.761805556,51,2012,4,22
41,2012-01-03,14,1,0,2,1,1,0.16,0.841666667,0.43,3.627777778,79,2012,1,3
42,2011-02-04,5,1,0,5,1,2,0.14,1.052083333,0.04375,0.932638889,7,2011,2,4
43,2012-04-28,16,2,0,6,0,2,0.44,3.051388889,0.38,0.134722222,376,2012,4,28
44,2011-10-21,22,4,0,5,1,1,0.42,2.945833333,0.54,1.140277778,113,2011,10,21
45,2012-05-04,11,2,0,5,1,2,0.07,4.524305556,0.042361111,0.0,258,2012,5,4
46,2012-03-15,13,1,0,4,1,2,0.045833333,4.313888889,0.41,0.622222222,273,2012,3,15
47,2011-05-04,13,2,0,3,1,2,0.46,3.15625,0.59,3.109722222,143,2011,5,4
48,2012-11-05,6,4,0,1,1,2,0.03,1.999305556,0.49,1.969444444,139,2012,11,5
49,2012-04-09,12,2,0,1,1,1,0.54,3.577777778,0.28,4.975,280,2012,4,9
50,2012-02-01,10,1,0,3,1,1,0.04,2.840972222,0.043055556,0.932638889,133,2012,2,1
51,2012-09-20,8,3,0,4,1,1,0.05,3.366666667,0.047222222,0.622222222,790,2012,9,20
52,2011-01-20,0,1,0,4,1,1,0.26,1.578472222,0.56,2.695138889,13,2011,1,20
53,2011-11-02,1,4,0,3,1,1,0.03,2.314583333,0.060416667,0.0,10,2011,11,2
54,2011-07-20,17,3,0,3,1,1,0.058333333,5.786805556,0.59,0.134722222,455,2011,7,20
55,2011-12-30,5,1,0,5,1,1,0.22,1.788888889,0.052083333,0.622222222,10,2011,12,30
56,2012-04-15,4,2,0,0,0,2,0.54,3.577777778,0.52,0.0,12,2012,4,15
57,2012-07-28,9,3,0,6,0,1,0.054166667,5.155555556,0.59,0.725694444,337,2012,7,28
58,2012-07-19,10,3,0,4,1,1,0.052777778,4.945138889,0.58,0.134722222,198,2012,7,19
59,2011-11-17,18,4,0,4,1,1,0.32,2.209722222,0.39,0.134722222,307,2011,11,17
60,2011-02-20,0,1,0,0,0,1,0.26,1.472916667,0.35,3.109722222,17,2011,2,20
61,2011-04-06,15,2,0,3,1,1,0.52,0.05,0.32,2.280555556,117,2011,4,6
62,2011-12-21,3,1,0,3,1,2,0.36,2.630555556,0.049305556,0.0,2,2011,12,21
63,2011-01-28,16,1,0,5,1,1,0.22,1.89375,0.08,0.0,80,2011,1,28
64,2011-05-09,3,2,0,1,1,1,0.46,3.15625,0.056944444,0.622222222,7,2011,5,9
65,2011-05-20,16,2,0,5,1,2,0.06,4.313888889,0.53,1.140277778,330,2011,5,20
66,2011-04-24,0,2,0,0,0,1,0.52,0.05,0.057638889,1.554861111,96,2011,4,24
67,2012-09-11,9,3,0,2,1,1,0.06,4.313888889,0.49,0.0,358,2012,9,11
68,2012-02-23,21,1,0,4,1,1,0.44,3.051388889,0.51,1.554861111,222,2012,2,23
69,2012-05-13,18,2,0,0,0,2,0.047222222,4.419444444,0.44,2.4875,389,2012,5,13
70,2011-07-20,22,3,0,3,1,1,0.054166667,5.365972222,0.07,1.554861111,169,2011,7,20
71,2012-11-16,10,4,0,5,1,1,0.34,2.314583333,0.53,0.134722222,198,2012,11,16
72,2011-03-07,13,1,0,1,1,1,0.32,1.999305556,0.36,2.695138889,70,2011,3,7
73,2012-01-20,1,1,0,5,1,1,0.26,1.89375,0.48,0.932638889,15,2012,1,20
74,2012-03-23,0,2,0,5,1,1,0.56,3.682638889,0.057638889,0.0,95,2012,3,23
75,2011-08-11,7,3,0,4,1,1,0.045833333,4.313888889,0.54,0.932638889,307,2011,8,11
76,2011-07-08,19,3,0,5,1,1,0.045833333,4.209027778,0.057638889,0.622222222,270,2011,7,8
77,2011-03-21,20,2,0,1,1,1,0.56,3.682638889,0.044444444,0.134722222,122,2011,3,21
78,2011-09-29,23,4,0,4,1,1,0.52,0.05,0.053472222,0.725694444,81,2011,9,29
79,2012-11-02,11,4,0,5,1,1,0.42,2.945833333,0.41,2.902083333,221,2012,11,2
80,2011-11-17,3,4,0,4,1,2,0.42,2.945833333,0.053472222,2.280555556,3,2011,11,17
81,2012-05-01,18,2,0,2,1,1,0.07,4.524305556,0.54,0.932638889,743,2012,5,1
82,2012-06-22,16,3,0,5,1,1,0.09,0.557638889,0.31,1.554861111,380,2012,6,22
83,2011-07-27,15,3,0,3,1,1,0.059722222,5.155555556,0.26,1.761805556,140,2011,7,27
84,2012-09-23,12,4,0,0,0,1,0.56,3.682638889,0.43,0.725694444,776,2012,9,23
85,2011-12-13,12,4,0,2,1,1,0.36,2.314583333,0.43,2.4875,167,2011,12,13
86,2011-12-04,13,4,0,0,0,1,0.04,2.840972222,0.045833333,1.554861111,357,2011,12,4
87,2011-06-08,15,2,0,3,1,1,0.063888889,6.102777778,0.04,1.140277778,128,2011,6,8
88,2012-07-20,14,3,0,5,1,3,0.07,4.629861111,0.058333333,1.140277778,229,2012,7,20
89,2012-07-13,10,3,0,5,1,2,0.051388889,4.629861111,0.48,0.0,268,2012,7,13
90,2012-02-03,12,1,0,5,1,1,0.34,2.314583333,0.46,0.932638889,216,2012,2,3
91,2012-02-17,19,1,0,5,1,1,0.38,2.735416667,0.37,1.554861111,282,2012,2,17
92,2012-07-16,0,3,0,1,1,3,0.05,0.484027778,0.054861111,0.725694444,43,2012,7,16
93,2012-03-31,4,2,0,6,0,1,0.42,2.945833333,0.053472222,2.902083333,8,2012,3,31
94,2012-05-08,22,2,0,2,1,3,0.06,3.998611111,0.054166667,1.761805556,147,2012,5,8
95,2011-08-01,9,3,0,1,1,1,0.056944444,5.155555556,0.41,0.0,166,2011,8,1
96,2012-01-18,14,1,0,3,1,1,0.03,1.89375,0.33,2.695138889,105,2012,1,18
97,2012-11-06,0,4,0,2,1,1,0.24,1.788888889,0.06,0.725694444,19,2012,11,6
98,2012-04-23,7,2,0,1,1,3,0.03,1.999305556,0.05625,1.761805556,207,2012,4,23
99,2011-05-07,3,2,0,6,0,1,0.42,2.945833333,0.053472222,0.622222222,18,2011,5,7
100,2012-06-28,0,3,0,4,1,1,0.045833333,4.313888889,0.05,0.725694444,54,2012,6,28
101,2012-08-17,15,3,0,5,1,1,0.059722222,1.683333333,0.03,3.213194444,383,2012,8,17
102,2011-06-06,10,2,0,1,1,1,0.05,4.629861111,0.51,1.554861111,95,2011,6,6
103,2012-08-15,20,3,0,3,1,1,0.07,4.524305556,0.042361111,0.932638889,427,2012,8,15
104,2012-04-28,19,2,0,6,0,3,0.36,2.420138889,0.049305556,0.932638889,139,2012,4,28
105,2012-04-08,22,2,0,0,0,1,0.05,3.366666667,0.36,1.554861111,118,2012,4,8
106,2012-12-08,16,4,0,6,0,1,0.42,2.945833333,0.056944444,1.140277778,507,2012,12,8
107,2011-05-05,12,2,0,4,1,1,0.52,0.05,0.34,2.4875,196,2011,5,5
108,2011-08-21,23,3,0,0,0,1,0.07,4.629861111,0.051388889,1.140277778,68,2011,8,21
109,2011-08-22,16,3,0,1,1,1,0.051388889,4.524305556,0.03,2.695138889,320,2011,8,22
110,2012-04-18,10,2,0,3,1,3,0.48,3.261805556,0.47,1.554861111,147,2012,4,18
